originAggRegion,destinationAggRegion,year,count
NW Asia,NW Asia,1979,4
NW Asia,NW Asia,1985,209
NW Asia,NW Asia,1986,68
NW Asia,NW Asia,1987,27
NW Asia,NW Asia,1988,80
NW Asia,NW Asia,1989,72
NW Asia,NW Asia,1990,95
NW Asia,NW Asia,1991,48
NW Asia,NW Asia,1992,33
NW Asia,NW Asia,1993,19
NW Asia,NW Asia,1994,28
NW Asia,NW Asia,1995,69
NW Asia,NW Asia,1996,46
NW Asia,NW Asia,1997,27
NW Asia,NW Asia,1998,40
NW Asia,NW Asia,1999,19
NW Asia,NW Asia,2000,18
NW Asia,NW Asia,2001,34
NW Asia,NW Asia,2002,159
NW Asia,NW Asia,2003,2162
NW Asia,NW Asia,2004,1939
NW Asia,NW Asia,2005,3068
NW Asia,NW Asia,2006,15562
NW Asia,NW Asia,2007,18520
NW Asia,NW Asia,2008,19843
NW Asia,NW Asia,2009,19679
NW Asia,NW Asia,2010,3325
NW Asia,NW Europe,1985,20
NW Asia,NW Europe,1986,18
NW Asia,NW Europe,1988,13
NW Asia,NW Europe,1989,9
NW Asia,NW Europe,1990,9
NW Asia,NW Europe,1991,2
NW Asia,NW Europe,1992,7
NW Asia,NW Europe,1993,1
NW Asia,NW Europe,1994,2
NW Asia,NW Europe,1995,16
NW Asia,NW Europe,1996,14
NW Asia,NW Europe,1997,6
NW Asia,NW Europe,1998,9
NW Asia,NW Europe,2000,1
NW Asia,NW Europe,2001,5
NW Asia,NW Europe,2002,8
NW Asia,NW Europe,2003,220
NW Asia,NW Europe,2004,165
NW Asia,NW Europe,2005,188
NW Asia,NW Europe,2006,2036
NW Asia,NW Europe,2007,1648
NW Asia,NW Europe,2008,1811
NW Asia,NW Europe,2009,2475
NW Asia,NW Europe,2010,341
NW Asia,SE Asia & Pacific,1979,1
NW Asia,SE Asia & Pacific,1985,3
NW Asia,SE Asia & Pacific,1986,3
NW Asia,SE Asia & Pacific,1989,5
NW Asia,SE Asia & Pacific,1990,1
NW Asia,SE Asia & Pacific,1993,2
NW Asia,SE Asia & Pacific,1994,3
NW Asia,SE Asia & Pacific,1996,2
NW Asia,SE Asia & Pacific,1997,2
NW Asia,SE Asia & Pacific,1998,2
NW Asia,SE Asia & Pacific,2001,9
NW Asia,SE Asia & Pacific,2002,1
NW Asia,SE Asia & Pacific,2003,49
NW Asia,SE Asia & Pacific,2004,62
NW Asia,SE Asia & Pacific,2005,106
NW Asia,SE Asia & Pacific,2006,2289
NW Asia,SE Asia & Pacific,2007,3991
NW Asia,SE Asia & Pacific,2008,5101
NW Asia,SE Asia & Pacific,2009,4808
NW Asia,SE Asia & Pacific,2010,661
NW Asia,SE Europe,1985,12
NW Asia,SE Europe,1986,7
NW Asia,SE Europe,1988,7
NW Asia,SE Europe,1990,4
NW Asia,SE Europe,1992,2
NW Asia,SE Europe,1993,1
NW Asia,SE Europe,1994,4
NW Asia,SE Europe,1995,1
NW Asia,SE Europe,1996,1
NW Asia,SE Europe,1997,3
NW Asia,SE Europe,2001,2
NW Asia,SE Europe,2002,4
NW Asia,SE Europe,2003,40
NW Asia,SE Europe,2004,21
NW Asia,SE Europe,2005,83
NW Asia,SE Europe,2006,1076
NW Asia,SE Europe,2007,1276
NW Asia,SE Europe,2008,1398
NW Asia,SE Europe,2009,1365
NW Asia,SE Europe,2010,191
NW Europe,Africa,1985,2
NW Europe,Africa,1986,4
NW Europe,Africa,1987,1
NW Europe,Africa,1994,7
NW Europe,Africa,1995,7
NW Europe,Africa,2004,10
NW Europe,Africa,2005,22
NW Europe,Africa,2006,693
NW Europe,Africa,2007,749
NW Europe,Africa,2008,823
NW Europe,Africa,2009,882
NW Europe,Africa,2010,130
NW Europe,Latin America,2003,5
NW Europe,Latin America,2004,47
NW Europe,Latin America,2005,10
NW Europe,Latin America,2006,401
NW Europe,Latin America,2007,445
NW Europe,Latin America,2008,308
NW Europe,Latin America,2009,330
NW Europe,Latin America,2010,85
NW Europe,North America,1985,4
NW Europe,North America,1986,1
NW Europe,North America,1988,1
NW Europe,North America,1990,1
NW Europe,North America,1992,2
NW Europe,North America,1993,2
NW Europe,North America,1994,2
NW Europe,North America,1995,1
NW Europe,North America,1998,1
NW Europe,North America,1999,1
NW Europe,North America,2000,20
NW Europe,North America,2001,3
NW Europe,North America,2002,1
NW Europe,North America,2003,167
NW Europe,North America,2004,524
NW Europe,North America,2005,1071
NW Europe,North America,2006,1848
NW Europe,North America,2007,1883
NW Europe,North America,2008,1831
NW Europe,North America,2009,1831
NW Europe,North America,2010,375
NW Europe,NW Asia,1985,6
NW Europe,NW Asia,1987,2
NW Europe,NW Asia,1993,2
NW Europe,NW Asia,1994,3
NW Europe,NW Asia,1995,5
NW Europe,NW Asia,1998,2
NW Europe,NW Asia,2001,9
NW Europe,NW Asia,2004,27
NW Europe,NW Asia,2005,27
NW Europe,NW Asia,2006,760
NW Europe,NW Asia,2007,961
NW Europe,NW Asia,2008,1291
NW Europe,NW Asia,2009,1043
NW Europe,NW Asia,2010,136
NW Europe,NW Europe,1985,11
NW Europe,NW Europe,1986,1
NW Europe,NW Europe,1987,1
NW Europe,NW Europe,1988,7
NW Europe,NW Europe,1989,1
NW Europe,NW Europe,1990,1
NW Europe,NW Europe,1991,4
NW Europe,NW Europe,1992,2
NW Europe,NW Europe,1993,5
NW Europe,NW Europe,1994,2
NW Europe,NW Europe,1995,7
NW Europe,NW Europe,1998,5
NW Europe,NW Europe,1999,6
NW Europe,NW Europe,2000,11
NW Europe,NW Europe,2001,6
NW Europe,NW Europe,2002,3
NW Europe,NW Europe,2003,79
NW Europe,NW Europe,2004,324
NW Europe,NW Europe,2005,656
NW Europe,NW Europe,2006,5576
NW Europe,NW Europe,2007,5518
NW Europe,NW Europe,2008,5337
NW Europe,NW Europe,2009,6681
NW Europe,NW Europe,2010,1216
NW Europe,SE Asia & Pacific,1985,2
NW Europe,SE Asia & Pacific,1987,4
NW Europe,SE Asia & Pacific,1998,6
NW Europe,SE Asia & Pacific,2001,8
NW Europe,SE Asia & Pacific,2003,1
NW Europe,SE Asia & Pacific,2004,18
NW Europe,SE Asia & Pacific,2005,21
NW Europe,SE Asia & Pacific,2006,1032
NW Europe,SE Asia & Pacific,2007,1383
NW Europe,SE Asia & Pacific,2008,1298
NW Europe,SE Asia & Pacific,2009,1637
NW Europe,SE Asia & Pacific,2010,237
NW Europe,SE Europe,1985,1
NW Europe,SE Europe,1993,2
NW Europe,SE Europe,1995,2
NW Europe,SE Europe,1998,2
NW Europe,SE Europe,2000,1
NW Europe,SE Europe,2001,2
NW Europe,SE Europe,2003,11
NW Europe,SE Europe,2004,33
NW Europe,SE Europe,2005,37
NW Europe,SE Europe,2006,986
NW Europe,SE Europe,2007,1287
NW Europe,SE Europe,2008,1020
NW Europe,SE Europe,2009,1106
NW Europe,SE Europe,2010,233
SE Asia & Pacific,Africa,1992,1
SE Asia & Pacific,Africa,1997,3
SE Asia & Pacific,Africa,1998,2
SE Asia & Pacific,Africa,2000,1
SE Asia & Pacific,Africa,2001,7
SE Asia & Pacific,Africa,2002,6
SE Asia & Pacific,Africa,2003,25
SE Asia & Pacific,Africa,2004,13
SE Asia & Pacific,Africa,2005,25
SE Asia & Pacific,Africa,2006,312
SE Asia & Pacific,Africa,2007,433
SE Asia & Pacific,Africa,2008,581
SE Asia & Pacific,Africa,2009,456
SE Asia & Pacific,Africa,2010,27
SE Asia & Pacific,Latin America,1985,1
SE Asia & Pacific,Latin America,1989,1
SE Asia & Pacific,Latin America,1997,2
SE Asia & Pacific,Latin America,1999,1
SE Asia & Pacific,Latin America,2001,1
SE Asia & Pacific,Latin America,2002,2
SE Asia & Pacific,Latin America,2005,5
SE Asia & Pacific,Latin America,2006,783
SE Asia & Pacific,Latin America,2007,571
SE Asia & Pacific,Latin America,2008,498
SE Asia & Pacific,Latin America,2009,609
SE Asia & Pacific,Latin America,2010,78
SE Asia & Pacific,North America,1973,1
SE Asia & Pacific,North America,1985,1
SE Asia & Pacific,North America,1986,1
SE Asia & Pacific,North America,1988,7
SE Asia & Pacific,North America,1989,1
SE Asia & Pacific,North America,1990,5
SE Asia & Pacific,North America,1991,3
SE Asia & Pacific,North America,1992,8
SE Asia & Pacific,North America,1993,3
SE Asia & Pacific,North America,1994,6
SE Asia & Pacific,North America,1995,6
SE Asia & Pacific,North America,1996,1
SE Asia & Pacific,North America,1997,5
SE Asia & Pacific,North America,1998,5
SE Asia & Pacific,North America,1999,4
SE Asia & Pacific,North America,2000,8
SE Asia & Pacific,North America,2001,12
SE Asia & Pacific,North America,2002,44
SE Asia & Pacific,North America,2003,181
SE Asia & Pacific,North America,2004,223
SE Asia & Pacific,North America,2005,815
SE Asia & Pacific,North America,2006,2207
SE Asia & Pacific,North America,2007,2408
SE Asia & Pacific,North America,2008,2748
SE Asia & Pacific,North America,2009,3300
SE Asia & Pacific,North America,2010,560
SE Asia & Pacific,NW Asia,1972,3
SE Asia & Pacific,NW Asia,1978,1
SE Asia & Pacific,NW Asia,1979,14
SE Asia & Pacific,NW Asia,1985,2
SE Asia & Pacific,NW Asia,1986,4
SE Asia & Pacific,NW Asia,1992,1
SE Asia & Pacific,NW Asia,1996,32
SE Asia & Pacific,NW Asia,1997,24
SE Asia & Pacific,NW Asia,1998,13
SE Asia & Pacific,NW Asia,1999,1
SE Asia & Pacific,NW Asia,2001,9
SE Asia & Pacific,NW Asia,2003,4
SE Asia & Pacific,NW Asia,2004,11
SE Asia & Pacific,NW Asia,2005,28
SE Asia & Pacific,NW Asia,2006,1894
SE Asia & Pacific,NW Asia,2007,2326
SE Asia & Pacific,NW Asia,2008,1232
SE Asia & Pacific,NW Asia,2009,855
SE Asia & Pacific,NW Asia,2010,142
SE Asia & Pacific,NW Europe,1972,3
SE Asia & Pacific,NW Europe,1978,1
SE Asia & Pacific,NW Europe,1979,3
SE Asia & Pacific,NW Europe,1985,1
SE Asia & Pacific,NW Europe,1986,1
SE Asia & Pacific,NW Europe,1987,1
SE Asia & Pacific,NW Europe,1989,16
SE Asia & Pacific,NW Europe,1990,2
SE Asia & Pacific,NW Europe,1992,2
SE Asia & Pacific,NW Europe,1993,1
SE Asia & Pacific,NW Europe,1994,7
SE Asia & Pacific,NW Europe,1995,7
SE Asia & Pacific,NW Europe,1996,12
SE Asia & Pacific,NW Europe,1997,11
SE Asia & Pacific,NW Europe,1998,27
SE Asia & Pacific,NW Europe,1999,5
SE Asia & Pacific,NW Europe,2000,11
SE Asia & Pacific,NW Europe,2001,15
SE Asia & Pacific,NW Europe,2002,13
SE Asia & Pacific,NW Europe,2003,18
